index,x,y,captured_at
1,1281,754,2026-03-19T15:38:42
1,1140,1035,2026-03-19T16:26:49
2,1289,1040,2026-03-19T16:26:50
1,1209,986,2026-03-20T13:13:48
2,429,900,2026-03-20T13:14:11
3,407,874,2026-03-20T13:14:16
4,623,682,2026-03-20T13:14:21
5,1639,958,2026-03-20T13:15:07
6,1203,976,2026-03-20T13:15:11
7,733,323,2026-03-20T13:15:17
1,1291,1016,2026-03-20T13:46:59
2,822,352,2026-03-20T13:47:03
3,836,365,2026-03-20T13:47:50
4,1074,980,2026-03-20T13:47:53
5,818,352,2026-03-20T13:48:11
1,1296,1010,2026-03-20T14:05:41
2,1841,533,2026-03-20T14:06:10
1,1521,1170,2026-03-21T14:55:05
2,1514,1265,2026-03-21T14:55:07
3,871,361,2026-03-21T14:56:13
